1,에코프로머티,1.43%,"127,000","5,300",+4.35%,"3,454,637","122,500","129,900","111,100",431.97,6.77,https://finance.naver.com/item/main.naver?code=450080
2,삼성전자,1.37%,"71,500",200,-0.28%,"8,849,910","71,800","71,900","71,100",15.20,17.07,https://finance.naver.com/item/main.naver?code=005930
3,에코프로,1.08%,"632,000","9,000",-1.40%,"396,947","649,000","652,000","611,000",-293.14,2.94,https://finance.naver.com/item/main.naver?code=086520
4,에코프로비엠,0.91%,"301,500",500,+0.17%,"1,380,887","312,000","312,500","291,500",177.14,24.26,https://finance.naver.com/item/main.naver?code=247540
5,POSCO홀딩스,0.91%,"447,000","4,500",-1.00%,"753,955","454,000","458,500","438,000",30.52,6.11,https://finance.naver.com/item/main.naver?code=005490
6,포스코퓨처엠,0.86%,"334,500","16,000",+5.02%,"1,130,284","329,500","338,500","316,500",320.40,4.87,https://finance.naver.com/item/main.naver?code=003670
7,두산로보틱스,0.74%,"82,200","6,900",-7.74%,"3,089,173","87,200","90,900","82,100",-317.37,N/A,https://finance.naver.com/item/main.naver?code=454910
8,케이엔에스,0.74%,"108,700","16,700",+18.15%,"3,601,999","109,200","119,600","104,500",N/A,N/A,https://finance.naver.com/item/main.naver?code=432470
9,아프리카TV,0.74%,"76,600","6,800",-8.15%,"2,346,227","81,300","84,200","76,400",14.23,26.53,https://finance.naver.com/item/main.naver?code=067160
10,대상홀딩스,0.68%,"14,520","1,210",+9.09%,"17,867,683","14,490","17,080","14,380",55.85,4.47,https://finance.naver.com/item/main.naver?code=084690
11,LG전자,0.63%,"95,300","4,700",-4.70%,"2,293,111","99,200","99,500","95,100",25.61,6.61,https://finance.naver.com/item/main.naver?code=066570
12,카페24,0.63%,"26,400","4,250",+19.19%,"14,137,755","28,750","28,750","25,400",733.33,-19.59,https://finance.naver.com/item/main.naver?code=042000
13,엔씨소프트,0.63%,"261,500","3,500",-1.32%,"193,487","267,500","267,500","253,000",37.38,13.73,https://finance.naver.com/item/main.naver?code=036570
14,LG에너지솔루션,0.57%,"426,500","2,000",+0.47%,"164,818","428,000","429,500","420,000",65.60,5.75,https://finance.naver.com/item/main.naver?code=373220
15,와이바이오로직스,0.51%,"18,180","4,190",+29.95%,"13,952,295","15,190","18,180","15,110",-11.96,-92.33,https://finance.naver.com/item/main.naver?code=338840
16,루닛,0.51%,"74,900","5,700",-7.07%,"852,958","78,800","79,300","73,600",-50.20,-110.27,https://finance.naver.com/item/main.naver?code=328130
17,나이벡,0.40%,"21,450","4,920",+29.76%,"490,929","16,650","21,450","16,350",-21.07,-11.81,https://finance.naver.com/item/main.naver?code=138610
18,LG화학,0.40%,"468,500","2,500",-0.53%,"172,887","471,000","477,000","466,000",28.15,6.95,https://finance.naver.com/item/main.naver?code=051910
19,우리기술투자,0.40%,"7,260",170,-2.29%,"6,547,785","7,430","7,600","7,200",-13.06,-58.18,https://finance.naver.com/item/main.naver?code=041190
20,NAVER,0.40%,"212,500","1,000",-0.47%,"518,872","214,000","215,000","210,000",41.14,3.29,https://finance.naver.com/item/main.naver?code=035420
21,삼성SDI,0.40%,"443,500","10,000",+2.31%,"267,084","439,000","447,000","435,500",14.76,12.52,https://finance.naver.com/item/main.naver?code=006400
22,레인보우로보틱스,0.34%,"154,900","5,000",-3.13%,"214,338","157,500","160,900","154,000",125.32,10.56,https://finance.naver.com/item/main.naver?code=277810
23,셀트리온,0.34%,"157,600","2,500",-1.56%,"330,959","159,700","159,800","157,500",38.20,13.35,https://finance.naver.com/item/main.naver?code=068270
24,현대로템,0.34%,"29,050",700,-2.35%,"965,938","29,550","29,900","28,900",13.32,14.06,https://finance.naver.com/item/main.naver?code=064350
25,다날,0.34%,"5,230",630,+13.70%,"35,068,022","4,640","5,530","4,505",-33.96,-4.64,https://finance.naver.com/item/main.naver?code=064260
26,포스코인터내셔널,0.34%,"56,600","1,000",+1.80%,"1,098,646","56,800","57,300","54,600",13.22,15.79,https://finance.naver.com/item/main.naver?code=047050
27,두산에너빌리티,0.34%,"15,890",60,-0.38%,"2,108,544","15,890","15,900","15,580",-23.75,-11.70,https://finance.naver.com/item/main.naver?code=034020
28,포스코DX,0.34%,"47,600","1,550",-3.15%,"2,149,798","49,750","50,100","46,950",86.55,11.84,https://finance.naver.com/item/main.naver?code=022100
29,한농화성,0.34%,"15,680","1,270",+8.81%,"8,328,158","14,430","17,380","14,430",27.75,5.71,https://finance.naver.com/item/main.naver?code=011500
30,삼성전자우,0.34%,"57,300",400,-0.69%,"950,273","57,500","57,600","57,200",12.18,N/A,https://finance.naver.com/item/main.naver?code=005935
